,feature,weight,std
0,C13,0.07608906098741533,0.0037039935081721372
1,D2,0.049951597289448244,0.004088811632515574
2,TransactionAmt,0.04937076476282676,0.0032970738365782157
3,C14,0.04123910939012587,0.005631380279670461
4,D1,0.040077444336882914,0.00569755623216347
5,C5,0.03756050338818977,0.005100460744363776
6,D10,0.034462729912875155,0.004646660212971894
7,TransactionDT,0.03388189738625365,0.0029994062700541644
8,V307,0.03213939980638918,0.0037442554899929596
9,D15,0.03194578896418203,0.006899721076943065
10,C2,0.029816069699903226,0.0035909461744417096
11,D3,0.02652468538238144,0.006380351230700503
12,dist1,0.022458857696031,0.005351510149500605
13,V70,0.021490803484995193,0.0024794285527329285
14,V315,0.020329138431752214,0.0035700075342857285
15,D4,0.018973862536302066,0.004805294732232682
16,V310,0.017618586640851874,0.002765315945224731
17,C1,0.01626331074540177,0.004836397288207836
18,V128,0.013939980638915795,0.0014488508758079266
19,D11,0.013165537270087135,0.004805294732232674
20,V308,0.012003872216844203,0.0013131326201597838
21,C10,0.01181026137463701,0.0007244254379039352
22,card5_226,0.01142303969022267,0.0017744726795569641
23,D5,0.0112294288480155,0.0033310068797841796
24,D8,0.009680542110358204,0.002668741287916802
25,V313,0.009680542110358204,0.0022075032431735473
26,V314,0.009486931268151056,0.0016655034398920588
27,V317,0.008906098741529544,0.0027653159452247075
28,P_hotmail,0.007357212003872205,0.0018969910883122497
29,V90,0.007163601161665078,0.001572901917644896
30,id_01,0.006776379477250738,0.0008658540087124364
31,V30,0.006776379477250738,0.002936253802149665
32,V281,0.006389157792836419,0.00098722546245746
33,dist2,0.0061955469506292495,0.0009872254624574645
34,V312,0.006001936108422101,0.0019744509249149415
35,id_05,0.005808325266214931,0.0018367537232343125
36,V127,0.005808325266214931,0.001731708017424823
37,V126,0.005614714424007761,0.0016655034398920974
38,id_29_Found,0.0056147144240077385,0.0014227433162341857
39,V165,0.005227492739593442,0.001448850875807918
40,card6_debit,0.004840271055179146,0.002207503243173557
41,V91,0.004840271055179124,0.0010604502565443642
42,P_anonymous,0.004840271055179102,0.001731708017424823
43,C12,0.004840271055179079,0.0012245024821561869
44,visa,0.004646660212971931,0.0018771267598901365
45,V29,0.004453049370764783,0.0013131326201597869
46,V75,0.0044530493707647615,0.0013131326201597804
47,V306,0.004259438528557635,0.001993345622649956
48,V283,0.004065827686350443,0.0014227433162341857
49,V69,0.0038722168441432947,0.0006122512410781198
50,mastercard,0.0038722168441432947,0.0006122512410781198
51,V77,0.0038722168441432947,0.0013690353943592245
52,V67,0.0036786060019361245,0.00038722168441434056
53,V159,0.0036786060019361245,0.0016655034398920796
54,device_mobile,0.0036786060019361245,0.0012842690378917102
55,V145,0.0034849951597289764,0.00098722546245746
56,V289,0.0034849951597289543,0.0007744433688286812
57,V131,0.0032913843175218062,0.001993345622649941
58,V303,0.0032913843175218062,0.001795473087220838
59,V13,0.0032913843175218062,0.0007744433688286423
60,P_msn,0.0032913843175217837,0.0007744433688286811
61,M2_T,0.0032913843175217837,0.000474247772078076
62,V23,0.003097773475314658,0.0011289355072304484
63,V204,0.0030977734753146356,0.0007244254379039472
64,P_yahoo,0.0030977734753146135,0.0003872216844143405
65,V5,0.0029041626331074654,0.0012245024821562044
66,V24,0.0029041626331074433,0.0
67,V288,0.0027105517909003394,0.0011289355072304484
68,V102,0.0027105517909003394,0.0009484955441560976
69,id_16_Found,0.0027105517909003173,0.0011289355072304445
70,V71,0.0027105517909003173,0.0016655034398920588
71,P_others,0.002710551790900295,0.0003872216844142962
72,V149,0.002710551790900295,0.0003872216844142962
73,V130,0.002710551790900295,0.0018771267598901434
74,V37,0.0025169409486931692,0.0013131326201597804
75,V320,0.0025169409486931692,0.0007744433688286312
76,V99,0.0025169409486931692,0.0024945012055614716
77,V295,0.002516940948693147,0.0009872254624574471
78,M3_T,0.002516940948693147,0.000987225462457447
79,V48,0.002516940948693147,0.0009872254624574471
80,V274,0.002516940948693147,0.0004742477720780216
81,R,0.002516940948693147,0.0025685380757834437
82,id_03,0.002516940948693125,0.0007744433688286367
83,V282,0.002323330106485999,0.0013131326201597739
84,V294,0.002323330106485999,0.0013131326201597739
85,V272,0.002323330106485999,0.0009872254624574471
86,V20,0.002323330106485977,0.0013131326201597804
87,C3,0.002323330106485977,0.0015729019176449123
88,V52,0.002129719264278851,0.0003872216844142962
89,V326,0.002129719264278829,0.0007244254379039352
90,R_hotmail,0.002129719264278829,0.0007244254379039352
91,V321,0.0021297192642788067,0.002155959094997095
92,discover,0.0021297192642788067,0.0009484955441560976
93,V7,0.0019361084220716807,0.0006122512410780846
94,V87,0.0019361084220716807,0.0006122512410780846
95,V2,0.0019361084220716584,0.0008658540087123867
96,V45,0.0019361084220716584,0.0008658540087123867
97,V26,0.0017424975798645327,0.0003872216844143405
98,C7,0.0017424975798645103,0.0019744509249149116
99,V210,0.0017424975798645103,0.0007244254379039472
100,V213,0.0017424975798645103,0.0007244254379039472
101,V209,0.0017424975798645103,0.001128935507230452
102,V208,0.0017424975798645103,0.0007244254379039472
103,C9,0.0017424975798644882,0.0028322824469172994
104,V11,0.0017424975798644882,0.0014227433162341766
105,P_gmail,0.0017424975798644659,0.0014227433162341736
106,V205,0.0015488867376573622,0.000474247772078076
107,V109,0.0015488867376573622,0.000474247772078076
108,V124,0.0015488867376573622,0.000474247772078076
109,V125,0.0015488867376573622,0.0007744433688286812
110,D12,0.0015488867376573622,0.0013131326201597608
111,V207,0.0015488867376573401,0.0007744433688286422
112,V160,0.0015488867376573401,0.0007744433688286422
113,id_07,0.0015488867376573401,0.0009872254624574645
114,V270,0.0015488867376573401,0.0007744433688286422
115,V309,0.0015488867376573178,0.0015729019176449123
116,C4,0.0015488867376573178,0.0013131326201597804
117,V332,0.0013552758954502142,0.0011616650532429774
118,V224,0.001355275895450192,0.000474247772078076
119,V8,0.001355275895450192,0.0007744433688286811
120,V72,0.0013552758954501697,0.00098722546245746
121,P_aol,0.0013552758954501697,0.00098722546245746
122,id_28_Found,0.0013552758954501476,0.0013131326201597739
123,V12,0.001161665053243044,0.001128935507230452
124,V92,0.0011616650532430216,0.00038722168441434056
125,V296,0.0011616650532430216,0.000948495544156152
126,V202,0.0011616650532430216,0.0007244254379039826
127,V49,0.0011616650532430216,0.001774472679556921
128,V302,0.0011616650532430216,0.00038722168441434056
129,V162,0.0011616650532430216,0.00038722168441434056
130,V211,0.0011616650532429995,0.0011289355072304596
131,V134,0.0011616650532429995,0.0018771267598901434
132,V304,0.0011616650532429995,0.0011289355072304599
133,R_yahoo,0.0011616650532429995,0.0009484955441561113
134,R_anonymous,0.0009680542110358737,0.0018367537232342774
135,V152,0.0009680542110358514,0.0008658540087124364
136,V221,0.0009680542110358514,0.0006122512410781198
137,V177,0.0009680542110358514,0.0006122512410781198
138,id_09,0.0009680542110358514,0.0
139,V143,0.0009680542110358514,0.0008658540087124364
140,V108,0.0009680542110358514,0.0
141,V250,0.0009680542110358514,0.0
142,V212,0.0009680542110358514,0.0
143,V268,0.0009680542110358514,0.0006122512410781198
144,id_04,0.0009680542110358514,0.0
145,M7_F,0.0009680542110358514,0.0013690353943592247
146,V286,0.0009680542110358514,0.0006122512410781198
147,P_comcast,0.0009680542110358292,0.001499703135027082
148,V105,0.0007744433688287033,0.0011289355072304599
149,V96,0.0007744433688287033,0.0020671981126875625
150,V22,0.0007744433688286811,0.0003872216844143406
151,V164,0.0007744433688286811,0.0003872216844143406
152,id_38_F,0.0007744433688286811,0.0007244254379039826
153,V166,0.0007744433688286811,0.0007244254379039826
154,V18,0.0007744433688286811,0.0003872216844143406
155,V31,0.0007744433688286811,0.0007244254379039826
156,V169,0.0007744433688286811,0.0007244254379039826
157,V229,0.0007744433688286811,0.0003872216844143406
158,V56,0.0007744433688286811,0.0012842690378917102
159,V287,0.0007744433688286811,0.0007244254379039826
160,id_10,0.0007744433688286811,0.0003872216844143406
161,V267,0.0007744433688286811,0.0003872216844143406
162,id_08,0.0007744433688286811,0.0009484955441561519
163,V66,0.0007744433688286811,0.0014227433162341677
164,V337,0.0007744433688286811,0.0007244254379039826
165,V280,0.0007744433688286589,0.001128935507230452
166,V278,0.000580832526621533,0.0011616650532429921
167,V61,0.000580832526621533,0.0017954730872208355
168,D13,0.000580832526621533,0.00098722546245746
169,V271,0.000580832526621533,0.00098722546245746
170,V133,0.000580832526621533,0.0015729019176448878
171,D7,0.000580832526621533,0.00098722546245746
172,V301,0.0005808325266215108,0.000474247772078076
173,V3,0.0005808325266215108,0.0007744433688286811
174,V157,0.0005808325266215108,0.0007744433688286811
175,V333,0.0005808325266215108,0.0007744433688286811
176,V262,0.0005808325266215108,0.0007744433688286811
177,V257,0.0005808325266215108,0.000474247772078076
178,addr2_87,0.0005808325266215108,0.0007744433688286811
